id;name;login;password;age;groupId;rating;type
1;Ягубов Гаврила Елизарович;Dudal;Dudal;34;16;0;Student
2;Якименко Глеб Родионович;Hurus;Hurus;31;13;0;Student
3;Лебедев Ефим Филимонович;Gogul;Gogul;22;18;0;Student
4;Маркин Кондрат Ильевич;Bazel;Bazel;23;19;0;Student
5;Грушецкий Лукьян Богданович;Kasho;Kasho;20;19;0;Student
6;Кузьминых Аким Денисович;Kedor;Kedor;27;4;0;Student
7;Леонов Казимир Кондратович;Nabei;Nabei;26;8;0;Student
8;Антипов Демьян Артемович;Voran;Voran;25;16;0;Student
9;Евлентьев Терентий Федотович;Dobor;Dobor;29;10;0;Student
10;Барсуков Вацлав Андронович;Barus;Barus;32;15;0;Student
11;Феднов Ярослав Ираклиевич;Zukus;Zukus;23;4;0;Student
12;Опринчук Федосий Изяславович;Munin;Munin;30;3;0;Student
13;Солодских Еремей Маркович;Umnin;Umnin;18;3;0;Student
14;Семянин Афанасий Эдуардович;Kigul;Kigul;18;4;0;Student
15;Бабатьев Сидор Святославович;Mozel;Mozel;25;18;0;Student
16;Гроссман Тимур Модестович;Gajas;Gajas;26;15;0;Student
17;Сергеев Пимен Несторович;Conin;Conin;35;5;0;Student
18;Чкалов Сократ Андриянович;Gawyn;Gawyn;35;20;0;Student
19;Зуйков Пахом Куприянович;Forin;Forin;32;14;0;Student
20;Шеломов Иннокентий Данилевич;Masar;Masar;33;3;0;Student
21;Думановский Мстислав Игнатиевич;Saris;Saris;34;13;0;Student
22;Рокоссовский Прохор Остапович;Mojas;Mojas;34;8;0;Student
23;Снытко Игнат Иосифович;Yogis;Yogis;34;14;0;Student
24;Седельников Евлампий Никифорович;Pedor;Pedor;27;8;0;Student
25;Цулукидзе Кондратий Архипович;Dolas;Dolas;33;13;0;Student
26;Щербина Агап Измаилович;Grige;Grige;33;3;0;Student
27;Шибалкин Артем Александрович;Hulak;Hulak;33;18;0;Student
28;Карандашов Касьян Андроникович;Nedal;Nedal;31;8;0;Student
29;Яндиев Федор Артемиевич;Zazel;Zazel;33;10;0;Student
30;Шишкарёв Гавриил Панкратиевич;Andro;Andro;18;9;0;Student
31;Баландин Тит Эрнстович;Nagra;Nagra;22;6;0;Student
32;Водянов Никанор Мирославович;Mufym;Mufym;31;5;0;Student
33;Ахметов Олег Гордеевич;Fejas;Fejas;24;18;0;Student
34;Карев Натан Кондратиевич;Kajir;Kajir;23;15;0;Student
35;Низьев Кир Ефремович;Huzan;Huzan;20;18;0;Student
36;Голубов Аркадий Пахомович;Duzil;Duzil;27;6;0;Student
37;Уланов Трофим Севастьянович;Sabor;Sabor;28;12;0;Student
38;Пондяков Мефодий Прохорович;Bolsa;Bolsa;34;20;0;Student
39;Разудалов Игорь Кириллович;Zulum;Zulum;34;10;0;Student
40;Юнкин Чеслав Демьянович;Arami;Arami;20;6;0;Student
41;Семёнов Радислав Адамович;Hulis;Hulis;19;12;0;Student
42;Суриков Варфоломей Михаилович;Gromi;Gromi;34;17;0;Student
43;Шентеряков Якуб Фомевич;Nizan;Nizan;31;3;0;Student
44;Курдиков Савелий Герасимович;Sarad;Sarad;34;7;0;Student
45;Яблонов Григорий Арсениевич;Taurn;Taurn;21;11;0;Student
46;Казаньков Евстигней Вадимович;Dolis;Dolis;20;6;0;Student
47;Рошет Кирилл Анатолиевич;Kawyn;Kawyn;27;5;0;Student
48;Авдеев Леонид Филиппович;Telsa;Telsa;30;8;0;Student
49;Яркин Мечислав Чеславович;Visar;Visar;23;1;0;Student
50;Чичеринов Илья Касьянович;Karan;Karan;23;1;0;Student
51;Сухарев Роман Леонович;Auzar;Auzar;31;15;0;Student
52;Жиров Марк Никитевич;Dagra;Dagra;32;12;0;Student
53;Яловегин Всеволод Тарасович;Dagal;Dagal;30;3;0;Student
54;Лагранский Вадим Валерьянович;Yggth;Yggth;35;19;0;Student
55;Крутов Серафим Аникитевич;Shali;Shali;22;9;0;Student
56;Горбунков Мартьян Наумович;Arith;Arith;27;1;0;Student
57;Пенкин Федот Леонтиевич;Jobor;Jobor;19;1;0;Student
58;Москвин Дмитрий Игоревич;Darad;Darad;19;15;0;Student
59;Протасов Максим Давыдович;Gradi;Gradi;25;19;0;Student
60;Шалаганов Дементий Мечиславович;Gabar;Gabar;24;12;0;Student
61;Щавлева Яна Ульяновна;Nisho;Nisho;28;13;0;Student
62;Гаврилова Ариадна Богдановна;Dibar;Dibar;19;20;0;Student
63;Бурдакова Ирина Давидовна;Mnelv;Mnelv;35;7;0;Student
64;Голованова Раиса Сигизмундовна;Thonn;Thonn;18;18;0;Student
65;Деникина Лиана Тарасовна;Codar;Codar;20;8;0;Student
66;Янукович Маргарита Гаврииловна;Ararr;Ararr;29;2;0;Student
67;Кондракова Вероника Руслановна;Barne;Barne;28;1;0;Student
68;Вершинина Изабелла Николаевна;Tegal;Tegal;35;11;0;Student
69;Каримова Элеонора Михаиловна;Marad;Marad;35;16;0;Student
70;Барболина Влада Иосифовна;Narad;Narad;29;17;0;Student
71;Кадцына Эмма Пахомовна;Mikak;Mikak;25;9;0;Student
72;Власьева Тамара Данилевна;Cofym;Cofym;31;11;0;Student
73;Суханова Эльвира Алексеевна;Grara;Grara;28;20;0;Student
74;Харламова Светлана Самсоновна;Shath;Shath;20;13;0;Student
75;Водолеева Ева Прокловна;Tajar;Tajar;20;2;0;Student
76;Стаина Дарья Иннокентиевна;Bubor;Bubor;25;10;0;Student
77;Яковалева Виктория Сергеевна;Tubar;Tubar;27;16;0;Student
78;Шубкина Оксана Артеименовна;Najin;Najin;25;2;0;Student
79;Черныха Варвара Евграфовна;Cobor;Cobor;19;13;0;Student
80;Дудинова Регина Петровна;Tusho;Tusho;27;17;0;Student
81;Северина Ефросиния Евсеевна;Nijin;Nijin;31;13;0;Student
82;Кузьминыха Полина Семеновна;Nilsa;Nilsa;20;1;0;Student
83;Наполова Лидия Андрияновна;Nidor;Nidor;20;5;0;Student
84;Левченко Клара Яновна;Gadal;Gadal;24;5;0;Student
85;Старостина Любовь Егоровна;Kisar;Kisar;18;18;0;Student
86;Ивашина Анфиса Тимуровна;Vugor;Vugor;25;19;0;Student
87;Томсина Валерия Аристарховна;Daril;Daril;19;19;0;Student
88;Милорадова Елизавета Геннадиевна;Mugis;Mugis;30;9;0;Student
89;Бореева Бронислава Федоровна;Cerin;Cerin;21;17;0;Student
90;Шатова Елена Агафоновна;Tegis;Tegis;21;10;0;Student
91;Маринкина Эвелина Антоновна;Fedor;Fedor;19;18;0;Student
92;Уманова Ярослава Никоновна;Todal;Todal;18;19;0;Student
93;Цедлиц Всеслава Олеговна;Anann;Anann;31;2;0;Student
94;Ноздрина Анна Сократовна;Molak;Molak;31;14;0;Student
95;Старицкая Каролина Венедиктовна;Cegar;Cegar;22;11;0;Student
96;Акимова Ираида Емельяновна;Dugor;Dugor;27;18;0;Student
97;Чужинова Юлия Никитевна;Vilar;Vilar;18;13;0;Student
